,HteamTS,HteamEFG,HteamPPS,HteamFIC,teamFIC40,HteamOrtg,HteamEDiff,HteamPlay,Hwin%,AteamTS,AteamEFG,AteamFIC,teamFIC40,AteamEDiff,Awin%,target
0,0.502,0.513,1.1818,70.375,58.6458,99.3678,-8.7356,0.5,0.0,0.5327,0.5,72.25,60.2083,8.7356,1.0,0
1,0.6446,0.5949,1.5190000000000001,97.0,80.8333,126.3381,13.6866,0.5244,1.0,0.6127,0.56,75.25,62.7083,-13.6866,0.0,1
2,0.53,0.5,1.1899,74.0,61.6667,105.6882,11.2435,0.439,1.0,0.4251,0.4,67.25,56.0417,-11.2435,0.0,1
3,0.4428,0.3956,0.9670000000000001,66.875,55.7292,96.1075,-2.1843,0.3837,0.0,0.5292,0.5064,70.25,58.5417,2.1843,1.0,0
4,0.4457,0.3941,0.9882,70.125,58.4375,89.0099,9.5368,0.3448,1.0,0.4039,0.3977,49.375,41.1458,-9.5368,0.0,1
5,0.5307,0.48100000000000004,1.2152,70.0,58.3333,101.5159,-9.5171,0.4118,0.0,0.5891,0.557,84.875,70.7292,9.5171,1.0,0
6,0.4972,0.4304,1.1772,70.875,59.0625,96.9312,6.2536,0.3976,1.0,0.4778,0.4405,44.25,36.875,-6.2536,0.0,1
7,0.5257,0.4607,1.2697,96.75,80.625,112.4649,18.91,0.4578,1.0,0.5327,0.5,72.25,60.2083,8.7356,1.0,1
8,0.4739,0.425,1.0625,61.0,50.8333,90.6276,-2.1324,0.3678,0.0,0.4526,0.4128,57.875,48.2292,2.1324,1.0,0
9,0.5821,0.5473,1.3649,76.375,63.6458,102.1711,9.1044,0.4318,1.0,0.4637,0.3953,62.0,51.6667,-9.1044,0.0,1
10,0.6085,0.5602,1.3976,80.25,66.875,123.06200000000001,10.6088,0.4941,1.0,0.502,0.513,70.375,58.6458,-8.7356,0.0,1
11,0.5271,0.4625,1.1875,74.875,62.3958,99.965,-4.209,0.40700000000000003,0.0,0.5413,0.5125,76.5,63.75,4.209,1.0,0
12,0.5413,0.5125,1.2375,76.5,63.75,104.17399999999999,4.209,0.4419,1.0,0.4821,0.4221,57.625,48.0208,-2.1957,0.0,1
13,0.4709,0.4059,1.0588,65.0,54.1667,94.8764,1.0542,0.3605,1.0,0.5292,0.5064,70.25,58.5417,2.1843,1.0,1
14,0.5429999999999999,0.5174,1.186,83.0,69.1667,109.8686,14.0029,0.4773,1.0,0.4039,0.3977,49.375,41.1458,-9.5368,0.0,1
15,0.5515,0.5118,1.2,73.625,61.3542,104.7423,-7.1882,0.4396,0.0,0.5891,0.557,84.875,70.7292,9.5171,1.0,0
16,0.6127,0.56,1.4267,75.25,62.7083,112.6515,-13.6866,0.4643,0.0,0.5423,0.5116,82.75,68.9583,11.544,1.0,0
17,0.53,0.5,1.1899,74.0,61.6667,105.6882,11.2435,0.439,1.0,0.4972,0.4304,70.875,59.0625,6.2536,1.0,0
18,0.4473,0.3793,1.0575,68.75,57.2917,99.3986,12.965,0.3951,1.0,0.4778,0.4405,44.25,36.875,-6.2536,0.0,1
19,0.5271,0.4625,1.1875,74.875,62.3958,99.965,-4.209,0.40700000000000003,0.0,0.5257,0.4607,96.75,80.625,18.91,1.0,1
20,0.4526,0.4128,1.0116,57.875,48.2292,92.76,2.1324,0.3793,1.0,0.4637,0.3953,62.0,51.6667,-9.1044,0.0,0
21,0.5588500000000001,0.5343,1.327,68.6875,57.23955,105.9105,-9.6722,0.4695,0.0,0.5821,0.5473,76.375,63.6458,9.1044,1.0,0
22,0.574,0.5417,1.2381,81.375,67.8125,116.2909,22.3636,0.4235,1.0,0.6446,0.5949,97.0,80.8333,13.6866,1.0,1
23,0.4821,0.4221,1.0909,57.625,48.0208,92.2192,-2.1957,0.3494,0.0,0.6085,0.5602,80.25,66.875,10.6088,1.0,1
24,0.4739,0.425,1.0625,61.0,50.8333,90.6276,-2.1324,0.3678,0.0,0.5307,0.48100000000000004,70.0,58.3333,-9.5171,0.0,1
25,0.56485,0.52365,1.30745,76.625,63.85415,107.0409,9.8813,0.4343,1.0,0.49495,0.46265,57.375,47.8125,-4.2368,0.5,0
26,0.4991,0.4731,1.11305,65.6875,54.7396,96.057,0.5650499999999999,0.39775,0.5,0.44715,0.40845,42.75,35.625,-9.6093,0.0,1
27,0.596,0.5545,1.35105,76.1875,63.48955,110.1327,-4.338500000000002,0.4563,0.5,0.434,0.41015,56.125,46.7708,-11.76985,0.0,1
28,0.4251,0.4,0.9333,67.25,56.0417,94.4447,-11.2435,0.3765,0.0,0.57065,0.51985,68.1875,56.8229,-12.6153,0.0,0
29,0.55975,0.51185,1.2701,83.375,69.4792,111.48175,8.35265,0.44005,1.0,0.53525,0.48515,64.375,53.64585,-2.0539999999999994,0.5,0
30,0.5423,0.5116,1.1512,82.75,68.9583,103.8956,11.544,0.4255,1.0,0.5016,0.47785,59.8125,49.84375,-9.7974,0.5,1
31,0.51,0.4706,1.1353,62.875,52.3958,100.82915,-5.0872,0.3993,0.5,0.4709,0.4059,65.0,54.1667,1.0542,1.0,1
32,0.5205500000000001,0.4936,1.16305,72.25,60.20835,99.29445,3.20235,0.42445,1.0,0.501,0.46565,79.0,65.83335,8.28315,0.5,1
33,0.5983499999999999,0.54855,1.42195,86.1875,71.8229,109.61045,18.54595,0.4704,1.0,0.51595,0.4751,72.6875,60.5729,-0.9326499999999998,0.5,0
34,0.55,0.4938,1.321,69.875,58.2292,109.4263,7.1587,0.4157,1.0,0.4428,0.3956,66.875,55.7292,-2.1843,0.0,1
35,0.5697000000000001,0.5400333333333333,1.3503666666666667,66.20833333333333,55.1736,104.35783333333332,-10.000866666666667,0.4529333333333334,0.0,0.49155,0.45715,61.8125,51.5104,-6.3529,0.0,1
36,0.53525,0.4841,1.2428,69.4375,57.86455,101.82335,6.2605499999999985,0.41845,0.5,0.5515,0.5118,73.625,61.3542,-7.1882,0.0,0
37,0.5429999999999999,0.5174,1.186,83.0,69.1667,109.8686,14.0029,0.4773,1.0,0.47125,0.43535,61.75,51.4583,0.5281499999999999,0.5,1
38,0.4902,0.44475,1.09325,66.375,55.3125,99.18755,-4.6715,0.40695,0.0,0.4473,0.3793,68.75,57.2917,12.965,1.0,1
39,0.574,0.5417,1.2381,81.375,67.8125,116.2909,22.3636,0.4235,1.0,0.4457,0.3941,70.125,58.4375,9.5368,1.0,1
40,0.6063666666666666,0.5624333333333333,1.3785999999999998,83.91666666666667,69.93053333333333,114.9845,-1.8445333333333336,0.4748333333333334,0.6666666666666666,0.4725333333333333,0.4422333333333333,62.66666666666666,52.22220000000001,-7.018833333333332,0.3333333333333333,1
41,0.47465,0.43755,1.02575,60.6875,50.5729,91.14135,-4.114750000000001,0.3678,0.5,0.5813999999999999,0.5598,81.5625,67.96875,20.064950000000003,1.0,0
42,0.55,0.4938,1.321,69.875,58.2292,109.4263,7.1587,0.4157,1.0,0.5005499999999999,0.43965,62.8125,52.34375,-4.1272,0.5,0
43,0.5146,0.4444,1.2102,68.875,57.39585,101.6847,0.7507999999999999,0.3967500000000001,0.5,0.5262666666666667,0.4857666666666667,75.08333333333333,62.56946666666666,1.9239999999999997,0.3333333333333333,1
44,0.5649666666666667,0.5340333333333334,1.2708666666666668,77.625,64.6875,105.7754,5.733,0.44766666666666666,1.0,0.4920666666666666,0.4534333333333334,71.66666666666667,55.7172,2.8466666666666667,0.6666666666666666,1
